id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
32,0.321252,udp,-,RST,27,14,145.0,206.0,75.669,31,128,1013.286,965.425,4,2,4.363,16.415,1.442,1.052,0,561157020,886310496,0,0.031812,0.013475,0.049788,44.7,110.0,0,17.0,5,2,6,4,2,4,0,0,0,1,2,0,Analysis,1
33,0.593776,tcp,ftp,REQ,11,7,128.0,62.0,3.387,31,62,2407.179,594.662,1,2,0.986,20.289,0.992,3.646,0,4264970065,3015755209,255,0.047905,0.02499,0.001569,36.4,6.4,1,58.0,1,4,0,2,1,1,0,0,0,3,3,0,Normal,0
34,0.039826,tcp,pop3,RST,7,9,212.0,157.0,111.301,62,62,1342.099,27.548,1,2,41.985,4.336,24.833,0.486,0,898908349,2282595697,255,0.023492,0.014615,0.024904,170.3,157.5,0,49.0,3,2,2,1,1,1,1,0,0,1,1,0,Normal,0
35,0.361098,tcp,-,RST,10,7,58.0,345.0,23.813,128,254,1609.975,507.52,0,0,10.804,55.913,15.02,6.624,0,2644503400,653101480,0,0.002933,0.02928,0.004342,170.3,52.5,1,252.0,2,1,2,1,2,2,0,1,0,0,3,0,Normal,0
36,0.469578,icmp,ssh,ECO,9,13,1086.0,62.0,127.381,62,254,201.13,510.745,0,0,2.773,7.25,1.394,4.846,255,893946772,1199767648,0,0.036911,0.009839,0.02003,37.3,75.2,1,383.0,1,0,2,4,0,4,0,0,1,1,6,0,Normal,0
37,0.80172,udp,smtp,INT,7,8,19.0,310.0,38.101,31,31,259.705,529.885,0,0,20.911,9.51,18.769,2.203,255,2626986417,489675618,0,0.046166,0.064285,0.011341,14.6,134.2,1,276.0,3,3,4,2,2,4,0,0,0,1,3,0,Normal,0
38,0.879766,tcp,-,RST,14,10,137.0,713.0,32.024,62,31,2679.672,36.806,0,3,12.44,23.215,4.643,4.718,0,3459958964,3535912388,255,0.009909,0.012808,0.004436,34.2,279.8,0,261.0,1,2,4,2,3,3,0,0,0,2,5,0,Normal,0
39,1.405167,tcp,-,ECO,10,12,347.0,308.0,30.314,31,128,443.661,406.545,2,0,5.177,37.115,3.279,0.502,255,3525040665,2830557322,0,0.033665,0.009114,0.030135,45.1,0.8,0,10.0,3,1,0,0,1,1,0,0,0,0,3,0,Normal,0
40,0.366711,tcp,dhcp,ECO,36,6,3320.0,110.0,131.489,31,254,849.869,770.302,0,0,2.32,5.698,17.023,4.065,0,3972355124,2061513796,255,0.012395,0.013311,0.027979,88.6,17.9,1,133.0,6,5,2,3,1,1,0,1,0,3,3,0,Generic,1
41,0.944118,tcp,-,FIN,8,6,586.0,307.0,43.459,31,62,603.906,202.549,2,0,8.996,1.599,1.932,2.976,255,2648670224,970538110,0,0.016957,0.037053,0.014083,39.6,105.1,0,117.0,4,5,5,2,1,6,0,0,0,6,6,0,Normal,0
42,0.143892,udp,-,INT,32,4,2649.0,83.0,17.536,31,254,1259.761,2523.91,1,1,2.954,16.788,2.489,2.632,255,1967158772,1979062561,0,0.01846,0.04559,0.001998,37.2,28.2,0,4.0,0,3,1,1,2,2,0,0,0,1,5,0,Fuzzers,1
43,0.384508,tcp,-,REQ,28,8,4510.0,484.0,24.342,128,62,927.664,1114.543,2,3,0.431,2.248,7.329,3.132,0,3705806612,122016220,255,0.037343,0.010152,0.018882,146.9,83.7,0,295.0,6,2,2,1,2,1,0,0,0,0,1,0,Exploits,1
44,0.500089,tcp,ssh,REQ,10,5,818.0,758.0,3.974,254,62,2241.642,1504.294,0,2,5.193,3.059,2.654,2.887,255,653472528,583712783,255,0.018128,0.00112,0.009679,59.1,59.1,1,277.0,3,0,1,3,1,3,0,0,0,0,4,0,Normal,0
45,0.282459,tcp,dhcp,REQ,31,6,362.0,300.0,59.313,254,254,762.185,2200.041,1,0,15.859,6.122,3.563,1.608,0,2093587103,1535540972,0,0.018684,0.014203,0.016206,198.7,120.4,0,261.0,2,4,5,0,6,2,0,0,0,4,4,0,Fuzzers,1
46,0.435699,icmp,http,ECO,31,13,1150.0,37.0,53.375,62,31,2517.499,197.832,0,1,42.966,6.737,15.336,2.275,0,4114767838,3294975961,255,0.137118,0.060334,0.011769,170.4,34.2,0,146.0,1,0,3,2,1,5,0,0,0,2,6,0,Fuzzers,1
47,1.152704,tcp,pop3,REQ,18,11,255.0,530.0,40.228,128,254,955.554,319.211,0,0,18.198,7.833,3.296,1.398,0,790979689,3826608571,255,0.027567,0.025223,0.024057,136.3,173.8,1,12.0,4,2,4,1,1,4,0,0,1,1,4,0,Normal,0
48,0.522098,tcp,ssh,RST,17,10,932.0,775.0,17.077,62,128,80.468,19.616,0,1,2.778,10.6,3.552,1.173,255,3618932292,3845777634,255,0.003413,0.002497,0.020636,52.5,13.1,0,520.0,5,3,7,4,1,4,0,0,0,0,3,0,Normal,0
49,0.333117,udp,http,ECO,24,9,673.0,412.0,171.792,62,31,80.709,1117.781,0,1,5.657,16.493,4.663,3.232,255,2139853743,4213365528,255,0.072372,0.010537,0.00241,24.4,205.4,0,495.0,4,1,1,0,2,2,0,2,0,2,5,0,Generic,1
50,1.08703,udp,-,FIN,8,9,41.0,107.0,118.262,31,62,270.305,1727.1,2,1,3.424,30.754,2.547,1.471,0,3464301138,578308879,255,0.077874,0.027148,0.017164,141.7,149.2,1,471.0,4,1,2,0,1,0,0,0,0,1,5,1,Normal,0
51,1.180957,udp,dns,REQ,12,3,61.0,1884.0,87.419,128,254,1259.61,348.645,1,1,5.197,1.094,0.3,11.955,255,2334063833,913914015,255,0.08673,0.011244,0.047009,172.8,267.5,0,13.0,2,2,2,1,2,2,0,0,0,1,3,0,Normal,0
52,0.410564,icmp,-,INT,8,10,124.0,14.0,11.38,254,62,230.149,527.244,1,2,1.552,9.967,10.295,3.932,255,1436699488,3443738504,255,0.012962,0.059054,0.003309,37.9,71.9,0,575.0,3,2,5,5,3,3,1,0,1,1,1,0,Normal,0
53,0.323543,tcp,-,ECO,34,11,2197.0,344.0,146.859,31,128,1853.022,156.657,0,0,44.781,5.324,5.637,1.819,255,3239243230,3823981545,255,0.019699,0.043388,0.021383,83.8,24.7,0,254.0,2,2,3,1,0,3,0,0,0,0,2,0,Exploits,1
54,0.825049,icmp,dns,REQ,23,10,1954.0,1119.0,12.596,31,31,599.15,266.612,3,1,21.51,0.335,0.344,0.016,255,2098777937,747828712,255,0.00166,0.046278,0.002717,24.4,4.6,1,114.0,2,1,2,0,1,0,0,0,1,4,3,0,Generic,1
55,1.331812,icmp,pop3,REQ,28,9,9680.0,241.0,48.726,62,62,161.986,84.688,1,1,1.119,0.962,0.537,9.857,255,2393152557,4074132426,0,0.021666,0.061669,0.038803,32.5,216.6,1,193.0,2,1,2,2,0,2,0,0,0,3,3,0,Exploits,1
56,0.273407,tcp,dhcp,RST,27,10,847.0,73.0,49.926,128,128,2886.443,357.298,2,0,16.473,9.869,4.476,2.179,0,4284655692,2264618639,255,0.03139,0.004448,0.022193,158.5,275.1,0,710.0,2,4,4,3,2,0,0,0,0,1,2,1,Exploits,1
57,0.295053,udp,ssh,CON,9,8,628.0,195.0,12.439,31,254,185.178,66.971,0,0,31.613,14.07,0.685,15.837,0,3572483769,1811224171,0,0.094699,0.013001,0.015065,179.7,111.4,0,36.0,2,0,3,3,1,3,0,0,0,0,2,0,Normal,0
58,0.870298,tcp,ftp,REQ,24,6,1188.0,38.0,116.864,254,128,274.029,849.28,1,2,11.03,1.394,1.74,2.475,255,1141464733,2708659373,0,0.004919,0.017634,0.009479,3.5,31.0,1,16.0,2,2,1,2,2,2,0,0,0,1,2,0,Generic,1
59,0.34136,tcp,ftp,RST,7,13,762.0,365.0,8.077,62,254,1451.745,633.961,2,1,3.91,5.256,0.615,4.466,0,1616113008,1954947389,255,0.021693,0.037199,0.022792,190.2,191.9,1,48.0,4,2,2,1,2,3,0,0,1,4,5,0,Normal,0
60,0.354321,tcp,smtp,RST,9,8,534.0,274.0,6.852,128,62,38.404,130.684,1,1,5.922,3.387,9.664,0.558,0,3893744643,2665696610,0,0.242569,0.006604,0.076157,3.9,24.2,0,22.0,3,1,2,2,1,1,0,0,0,2,5,0,Normal,0
61,0.527987,tcp,http,CON,29,6,788.0,252.0,28.014,128,31,580.545,297.289,1,0,0.507,13.73,27.103,12.694,0,3387922299,2180853354,0,0.200059,0.047887,0.00324,8.1,29.7,0,286.0,3,2,1,2,2,3,0,1,1,2,5,1,Generic,1
62,0.070668,ospf,smtp,ECO,12,6,1045.0,50.0,74.48,254,62,273.623,272.232,1,0,2.444,18.951,2.211,5.554,0,1731269501,661577414,255,0.067046,0.00317,0.003109,4.8,105.5,1,290.0,4,1,4,2,0,1,0,0,0,3,3,0,Normal,0
63,0.429528,tcp,pop3,FIN,40,14,1388.0,185.0,89.0,62,254,1165.337,519.871,1,2,5.954,20.685,1.164,3.22,0,1061749894,2785732682,0,0.041157,0.028679,0.039974,32.1,33.3,2,110.0,1,2,2,1,3,3,0,0,0,2,1,0,Generic,1
64,0.047455,tcp,pop3,CON,34,6,739.0,2.0,127.245,254,128,79.525,49.703,1,1,1.168,7.164,11.222,0.623,255,2265077599,2673596664,255,0.05298,0.026974,0.07147,28.5,2.5,0,135.0,2,3,1,1,1,2,0,0,1,4,5,0,Exploits,1
65,0.041366,tcp,-,ECO,32,5,1537.0,231.0,21.092,254,62,615.468,150.656,0,3,1.729,13.805,2.591,19.451,0,2676860816,1892275239,255,0.000875,0.045926,0.020793,22.8,11.7,0,199.0,0,1,4,2,3,0,0,0,2,3,1,0,Generic,1
66,0.728756,tcp,ftp,REQ,30,9,374.0,645.0,47.09,31,31,55.513,62.954,2,0,4.341,0.425,3.101,0.187,0,1210742588,3117939016,0,0.018776,0.036323,0.001529,17.9,0.8,2,7.0,4,4,1,1,2,4,0,0,1,2,1,0,Generic,1
67,0.407889,tcp,ftp,REQ,26,12,3049.0,120.0,11.494,31,128,84.178,73.54,1,2,7.459,6.951,1.236,3.182,255,201299994,615629453,0,0.217738,0.000161,0.038741,472.6,33.9,2,334.0,2,1,5,3,1,6,0,0,0,0,4,0,Generic,1
68,0.009488,tcp,smtp,REQ,11,9,859.0,140.0,11.309,128,254,203.072,1645.677,0,0,20.753,1.526,0.651,0.982,0,1555565800,3470937345,255,0.018678,0.00761,0.014848,296.9,90.9,0,229.0,1,2,2,5,2,4,0,1,0,1,5,0,Normal,0
69,0.397098,udp,http,ECO,6,8,320.0,337.0,98.541,254,62,642.051,791.782,2,1,11.899,5.18,3.029,3.898,0,2362196478,4042370478,0,0.094573,0.01537,0.004839,81.3,104.0,1,282.0,6,1,0,2,1,3,0,0,2,1,2,0,Normal,0
70,0.470462,arp,dhcp,CON,7,8,263.0,583.0,16.053,128,31,2130.847,520.58,1,0,0.271,16.113,18.726,3.437,255,4070230125,2908347019,255,0.017137,0.031254,0.034138,52.7,18.8,0,4.0,5,2,1,3,4,7,0,1,0,1,2,0,Normal,0
71,0.104157,tcp,dhcp,CON,12,7,483.0,808.0,49.676,31,128,2007.084,635.859,2,0,9.642,4.29,3.018,8.785,0,356919081,985201020,0,0.054619,0.017942,0.046395,30.4,74.2,0,17.0,4,3,1,5,2,1,0,0,0,4,1,0,Normal,0
72,0.103661,arp,ftp,INT,10,6,100.0,27.0,3.46,254,62,68.996,1260.722,1,0,6.043,4.549,0.031,1.434,255,2915127223,547946753,0,0.00628,0.010819,0.002914,229.4,15.1,0,236.0,5,0,3,1,3,5,0,0,0,1,3,0,Normal,0
73,0.043569,udp,dns,ECO,28,7,2773.0,12.0,60.146,31,31,1355.055,499.337,0,0,5.297,13.406,12.775,5.259,0,2867573261,3682226400,255,0.015263,0.042229,0.009713,1.6,115.1,1,291.0,3,3,1,3,1,4,0,0,1,3,2,0,DoS,1
74,0.277023,udp,dns,REQ,8,10,415.0,31.0,6.957,254,128,2344.942,1434.325,0,0,1.989,2.672,2.824,2.823,255,364973990,766406080,0,0.001192,0.001621,0.075366,117.2,107.9,0,116.0,2,2,1,2,0,4,0,0,0,2,4,0,Normal,0
75,0.49865,tcp,-,RST,11,7,2038.0,34.0,5.276,128,254,1191.214,2082.459,1,0,24.256,4.633,6.558,2.235,0,435427737,650399226,255,0.023057,0.000973,0.035957,91.7,285.0,0,389.0,4,0,2,4,1,1,0,1,0,5,1,0,Normal,0
76,1.688129,tcp,dhcp,RST,9,7,146.0,343.0,14.632,128,128,27.413,115.801,0,0,19.806,9.11,0.864,10.636,0,547105781,718829306,255,0.132146,0.046318,0.018326,56.1,9.9,1,55.0,3,2,3,1,3,2,0,0,0,2,3,0,Normal,0
77,0.129513,icmp,pop3,ECO,8,7,48.0,151.0,1.021,62,31,469.122,1732.469,2,0,8.76,6.656,7.691,9.352,0,3498757572,607273841,255,0.016043,0.100269,0.038309,74.2,110.5,0,98.0,3,4,3,1,1,2,0,0,0,2,4,0,Normal,0
78,0.497243,tcp,ftp,INT,30,8,954.0,1390.0,129.697,62,62,101.033,1164.572,2,0,6.694,6.078,0.991,8.96,0,3496117302,4235488993,255,0.015595,0.037675,0.081073,112.1,59.6,0,702.0,1,3,0,1,0,0,0,0,0,1,4,0,Generic,1
79,0.258006,tcp,smtp,INT,37,9,1612.0,48.0,31.245,254,254,73.932,1023.448,4,0,10.345,8.174,13.54,5.713,0,1697532183,3984382030,255,0.049242,0.024672,0.002221,58.1,50.2,0,27.0,2,3,4,3,4,4,0,0,1,1,3,0,Generic,1
80,0.46423,udp,dns,FIN,31,3,708.0,58.0,127.605,254,62,457.944,685.981,2,0,4.353,12.015,6.335,1.49,255,3779330082,1618157955,255,0.03168,0.002409,0.033746,33.4,58.6,1,5.0,5,5,2,1,0,0,0,0,0,3,6,0,Exploits,1
81,0.675463,tcp,http,FIN,32,5,2448.0,217.0,16.762,31,62,203.123,637.097,0,1,3.356,10.051,3.844,0.868,0,3884891769,3833840457,255,0.028904,0.01225,0.023461,278.3,21.3,1,181.0,2,3,4,1,3,4,0,0,1,3,5,0,Generic,1
82,0.239687,udp,ftp,INT,8,3,1214.0,257.0,20.759,128,62,1040.392,3030.067,0,1,2.816,3.69,0.008,2.337,255,3934760667,3301959150,255,0.042794,0.031522,0.012091,48.2,21.2,0,270.0,2,1,3,1,1,2,0,0,0,1,2,0,Normal,0
83,0.044596,tcp,-,RST,29,10,2198.0,384.0,4.95,254,31,428.116,80.502,2,1,9.586,27.287,0.265,5.489,0,4001870344,3328667368,0,0.009725,0.000309,0.037617,81.7,36.9,2,787.0,3,5,2,0,4,4,0,0,0,3,2,1,Fuzzers,1
84,0.753845,icmp,pop3,ECO,9,12,268.0,161.0,8.48,62,62,958.858,446.507,1,3,13.96,0.861,23.199,0.889,255,1493355615,2401653044,255,0.323862,0.017813,0.009972,51.0,5.8,1,137.0,4,0,1,0,1,2,0,0,1,3,0,0,Normal,0
85,0.367419,tcp,ssh,INT,9,12,1568.0,1505.0,89.031,62,31,1011.521,586.283,1,1,18.3,1.035,3.249,4.073,0,3534804449,3558640847,255,0.162449,0.008907,0.007085,40.5,9.9,1,162.0,4,3,2,2,0,2,0,0,0,5,4,1,Normal,0
86,1.152145,tcp,dhcp,REQ,11,6,15.0,511.0,25.988,62,62,2677.061,2578.616,0,1,12.664,1.302,2.899,6.988,0,3282604455,1339028468,0,0.054968,0.009456,0.01978,150.0,8.3,0,7.0,0,2,1,4,5,3,0,0,0,0,2,0,Normal,0
87,0.103413,udp,-,RST,24,4,2375.0,50.0,96.307,254,128,227.319,533.027,1,1,11.738,4.72,5.396,3.32,0,1144138301,1321587738,0,0.027095,0.008003,0.020813,213.6,68.0,0,81.0,5,2,2,1,2,2,0,1,0,3,1,0,Exploits,1
88,0.070196,tcp,ssh,CON,3,2,166.0,432.0,67.416,128,31,1760.834,1017.413,0,0,12.734,5.181,1.455,4.048,0,309571944,32527900,255,0.012624,0.004927,0.019113,13.7,28.7,1,386.0,3,2,3,3,3,2,0,0,0,2,1,0,Normal,0
89,0.090801,icmp,smtp,FIN,14,4,686.0,158.0,2.726,254,31,176.453,210.203,1,3,12.27,0.614,0.814,0.968,0,2390031172,2920105251,0,0.034877,0.003261,0.006922,15.4,109.7,0,290.0,1,2,3,2,0,2,0,0,0,2,4,0,Normal,0
90,2.035584,udp,smtp,ECO,10,8,781.0,143.0,160.163,31,254,643.619,399.926,1,0,13.572,4.85,4.538,1.785,255,729922790,3898685185,255,0.006357,0.014957,0.023004,95.8,273.1,1,256.0,2,3,3,1,2,2,0,0,1,2,2,0,Normal,0
91,0.915517,tcp,dhcp,REQ,7,8,163.0,42.0,27.587,31,62,816.808,1772.66,0,1,0.435,14.771,2.406,2.229,255,2836961150,3164010807,0,0.01572,0.02375,0.00088,323.1,193.9,0,63.0,0,2,2,3,2,0,1,0,0,3,2,0,Normal,0
92,0.152247,tcp,dns,FIN,45,10,1785.0,49.0,163.781,62,128,290.378,735.622,2,2,17.176,7.376,5.149,3.226,0,116710700,3379923851,255,0.111649,0.001699,0.026801,1.2,37.5,1,138.0,1,0,1,2,3,2,0,0,0,0,6,0,Exploits,1
93,0.18313,icmp,http,CON,4,9,82.0,618.0,88.563,254,62,509.653,1190.916,5,0,0.746,0.546,2.837,5.356,255,79482410,806506966,255,0.107247,0.0145,0.019525,35.3,12.5,0,332.0,2,8,1,0,1,1,0,0,0,5,3,0,Normal,0
94,0.493035,udp,-,CON,9,4,23.0,481.0,153.097,31,128,427.083,1931.738,0,1,37.05,13.257,1.978,0.875,255,2125666721,4003172084,255,0.01035,0.011945,0.044097,118.6,28.6,0,80.0,1,2,1,0,3,2,0,0,0,2,1,0,Normal,0
95,0.280737,icmp,dns,CON,10,7,1225.0,100.0,164.859,31,254,1330.299,870.468,1,3,15.58,14.075,0.911,4.904,255,2653430071,419426079,255,0.089953,0.025404,0.014278,137.3,10.0,0,140.0,1,2,2,0,3,3,0,0,1,6,4,0,Normal,0
96,0.16615,tcp,http,INT,30,11,756.0,100.0,270.131,62,254,338.156,354.401,0,1,0.175,2.342,2.974,3.422,255,517464345,1987766020,255,0.003092,0.072363,0.0148,95.9,77.2,0,69.0,1,1,3,3,0,2,0,0,0,3,6,0,Generic,1
